,title,author,release year,synopsis,book length,rating,number of ratings
370,"The Wedding (The Notebook, #2)",Nicholas Sparks,2003,"After thirty years of marriage, Wilson Lewis, son-in-law of Allie and Noah Calhoun (of The Notebook), is forced to admit that the romance has gone out of his marriage. Desperate to win back his wife, Jane's, heart, he must figure out how to make her fall in love with him... again. Despite the shining example of Allie and Noah's marriage, Wilson is himself a man unable to e",276,3.98,151092
371,The Best of Me (Hardcover),Nicholas Sparks,2010,"In the spring of 1984, high school students Amanda Collier and Dawson Cole fell deeply, irrevocably in love. But as the summer of their senior year came to a close, unforeseen events would tear the young couple apart, setting them on radically divergent paths.Now, twenty-five years later, Amanda and Dawson are summoned back to Oriental for the funeral of Tuck Hostetler, th",292,3.96,161814
372,The Choice (Kindle Edition),Nicholas Sparks,2007,"#1 New York Times bestseller Nicholas Sparks turns his unrivaled talents to a new tale about love found and lost, and the choices we hope we'll never have to make.Travis Parker has everything a man could want: a good job, loyal friends, even a waterfront home in small-town North Carolina. In full pursuit of the good life - boating, swimming , and regular barbecues with his",325,4.0,166400
373,The Honey-Don't List (Paperback),Christina Lauren,2020,"Carey Douglas has worked for home remodeling and design gurus Melissa and Rusty Tripp for nearly a decade. A country girl at heart, Carey started in their first store at sixteen, and—more than anyone would suspect—has helped them build an empire. With a new show and a book about to launch, the Tripps are on the verge of superstardom. There’s only one problem: America’s fav",308,3.52,51909
374,"Naked in Death (In Death, #1)",J.D. Robb,1995,"Here is the novel that started it all- the first book in J.D. Robb's number-one New York Times-bestselling In Death series, featuring New York homicide detective Lieutenant Eve Dallas and Roarke.  It is the year 2058, and technology now completely rules the world. But New York City Detective Eve Dallas knows that the irresistible impulses of the human heart are still ruled",306,4.12,181828
375,To Love Jason Thorn (Kindle Edition),Ella Maise,2015,"Jason Thorn… My brother’s childhood friend.  Oh, how stupidly in love with that boy I was. He was the first boy that made me blush, my first official crush. Sounds beautiful so far, right? That excitement that bubbles up inside you, those famous butterflies you feel for the very first time—he was the reason for them all. But, you only get to live in that fairytale world un",428,3.85,79607
376,Under Locke (Kindle Edition),Mariana Zapata,2014,"He was my boss, my brother’s friend, a Widower, an ex-felon, and a man I’d seen casually with a handful of women. But he was everything that gripped me, both the good and the bad. Worst case scenario if things turned awkward between us, I could go somewhere else. I’d gotten over epic heartbreak before, one more wouldn’t kill me. After moving to Austin following six months ",497,3.98,70425
377,"Blood Promise (Vampire Academy, #4)",Richelle Mead,2009,"Bound by love, but sworn to kill...The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.Guardian Rose Hathaway's life will never be the same. The recent attack on St. V",503,4.31,299530
378,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,2009,"
He was everything she'd sworn to avoid.
Poppy Hathaway loves her unconventional family, though she longs for normalcy. Then fate leads to a meeting with Harry Rutledge, an enigmatic hotel owner and inventor with wealth, power, and a dangerous hidden life. When their flirtation compromises her own reputation, Poppy shocks everyone by accepting his proposal—only to find t",373,4.17,41823
379,Kiss an Angel (Paperback),Susan Elizabeth Phillips,1996,"
Wedding Day
Pretty, flighty Daisy Devreaux can either go to jail or marry the mystery man her father has chosen for her. Arranged marriages don't happen in the modern world, so how did the irrepressible Daisy find herself in this fix?Alex Markov, as humorless as he is deadly handsome, has no intention of playing the loving bridegroom to a spoiled little feather-head wit",384,4.19,58552
380,"Captive Prince (Captive Prince, #1)",C.S. Pacat,2013,"From global phenomenon C. S. Pacat comes the first in her critically acclaimed trilogy—with a bonus story.Damen is a warrior hero to his people, and the rightful heir to the throne of Akielos. But when his half brother seizes power, Damen is captured, stripped of his identity, and sent to serve the prince of an enemy nation as a pleasure slave.Beautiful, manipulative, and ",240,3.81,79264
381,Maybe in Another Life (Paperback),Taylor Jenkins Reid,2015,,,3.81,120415
382,The Kiss Thief (Paperback),L.J. Shen,2019,,,3.94,76731
383,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,2019,,,4.03,122780
384,"Married by Morning (The Hathaways, #4)",Lisa Kleypas,2010,,,4.14,39467
385,"Pestilence (The Four Horsemen, #1)",Laura Thalassa,2018,,,3.92,62447
386,"The Risk (Briar U, #2)",Elle Kennedy,2019,"THE RISK takes you back to the world of hot hockey players, feisty heroines, bro banter, and steamy scenes... Everyone says I’m a bad girl. They’re only partly right—I don’t let fear rule me, and I certainly don’t care what people think. But I draw the line at sleeping with the enemy. As the daughter of Briar’s head hockey coach, I’d be vilified if I hooked up with a playe",432,4.28,87793
387,"One Good Earl Deserves a Lover (The Rules of Scoundrels, #2)",Sarah MacLean,2013,"The second in the incredible new Rules of Scoundrels series from New York Times bestselling author Sarah MacLean. Lady Philippa Marbury is odd. The bespectacled, brilliant fourth daughter of the Marquess of Needham and Dolby cares more for books than balls, flora than fashion and science than the season. Nearly engaged to Lord Castleton, Pippa wants to explore the scandalo",376,4.03,29368
388,"Beastly (Beastly, #1; Kendra Chronicles, #1)",Alex Flinn,2007,,,3.83,174950
389,"Marrying Winterborne (The Ravenels, #2)",Lisa Kleypas,2016,,,4.11,35087
390,"The Dating Plan (Marriage Game, #2)",Sara Desai,2021,"Daisy Patel is a software engineer who understands lists and logic better than bosses and boyfriends. With her life all planned out, and no interest in love, the one thing she can't give her family is the marriage they expect. Left with few options, she asks her childhood crush to be her decoy fiance.Liam Murphy is a venture capitalist with something to prove. When he lear",352,3.66,34929
391,Honey Girl (Kindle Edition),Morgan  Rogers,2021,"With her newly completed PhD in astronomy in hand, twenty-eight-year-old Grace Porter goes on a girls’ trip to Vegas to celebrate. She is not the kind of person who goes to Vegas and gets drunkenly married to a woman whose name she doesn’t know…until she does exactly that.This one moment of departure from her stern ex-military father’s plans for her life has Grace wonderin",241,3.74,33312
392,"Dreaming of You (The Gamblers of Craven's, #2)",Lisa Kleypas,1994,"
She stood at danger's threshold—then love beckoned her in.
A prim, well-bred gentlewoman, Sara Fielding is a writer who puts pen to paper to create dreams. But now curiosity is luring her from the shelter of her country cottage into the dangerous world of Derek Craven—handsome, tough, and tenacious—and the most exciting man Sara has ever met.Derek rose from poverty to b",373,4.18,40674
393,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,2010,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora",432,4.0,307676
394,"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,1989,,,4.21,50780
395,"Devil in Spring (The Ravenels, #3)",Lisa Kleypas,2017,"Trečioji serijos „Raveneliai. Kilmingųjų aistros"" knyga.Londono visuomenėje pasirodo temperamentingieji Raveneliai..Ar pavyks jiems išsaugoti savo valdas ir turtus?Ekscentriška nenuoramaDauguma debiutančių Londone svajoja susirasti vyrą, bet ledi Pandora Ravenel turi kitų planų. Ambicingoji gražuolė, užuot dalyvavusi pokylių sezone, mieliau leistų laiką... Planuodama visuo",288,4.09,34046
396,Nights in Rodanthe (Paperback),Nicholas Sparks,2002,"From the #1 New York Times bestselling author Nicholas Sparks comes a tender story of hope and joy; of sacrifice and forgiveness -- a moving reminder that love is possible at any age, at any time, and often comes when we least expect it. At forty-five, Adrienne Willis must rethink her entire life when her husband abandons her for a younger woman. Reeling with heartache and",222,3.84,164417
397,"Dance Upon the Air (Three Sisters Island, #1)",Nora Roberts,2001,"When Nell Channing arrives on charming Three Sisters Island, she believes that she's finally found refuge from her abusive husband--and from the terrifying life she fled so desperately eight months ago...But even in this quiet, peaceful place, Nell never feels entirely at ease. Careful to conceal her true identity, she takes a job as a cook at the local bookstore cafe--and",400,4.2,68172
398,"The Distance Between Us (Old Town Shops, #1)",Kasie West,2013,"Seventeen-year-old Caymen Meyers studies the rich like her own personal science experiment, and after years of observation she’s pretty sure they’re only good for one thing—spending money on useless stuff, like the porcelain dolls in her mother’s shop.So when Xander Spence walks into the store to pick up a doll for his grandmother, it only takes one glance for Caymen to fi",320,3.92,75238
399,"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,2020,"Rosie and Dominic Vega are the perfect couple: high school sweethearts, best friends, madly in love. Well, they used to be, anyway. Now, Rosie's lucky to get a caveman grunt from the ex-soldier every time she walks in the door. Dom is faithful and a great provider, but the man she fell in love with 10 years ago is nowhere to be found. When her girlfriends encourage Rosie t",336,3.67,42780
400,"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,2009,,,4.36,111849
401,"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,2019,"Maddie and Theo have two things in common:1. Alexa is their best friend2. They hate each otherAfter an “Oops, we made a mistake” kiss, neither one can stop thinking about the other. With Alexa’s wedding rapidly approaching, Maddie and Theo both share bridal party responsibilities that require more interaction with each other than they’re comfortable with. Underneath the sh",351,3.78,44329
402,Love Lettering (Paperback),Kate Clayborn,2019,"Meg Mackworth’s hand-lettering skill has made her famous as the Planner of Park Slope, designing beautiful custom journals for New York City’s elite. She has another skill too: reading signs that other people miss. Like the time she sat across from Reid Sutherland and his gorgeous fiancée, and knew their upcoming marriage was doomed to fail. Weaving a secret word into thei",307,3.7,39426
403,"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,2010,"“I’ve left some clues for you.If you want them, turn the page.If you don’t, put the book back on the shelf, please.”So begins the latest whirlwind romance from the bestselling authors of Nick & Norah’s Infinite Playlist. Lily has left a red notebook full of challenges on a favorite bookstore shelf, waiting for just the right guy to come along and accept its dares. But is D",260,3.76,90591
404,"A Night to Surrender (Spindle Cove, #1)",Tessa Dare,2011,,,3.75,24837
405,The Bookish Life of Nina Hill (Kindle Edition),Abbi Waxman,2019,"The only child of a single mother, Nina has her life just as she wants it: a job in a bookstore, a kick-butt trivia team, a world-class planner and a cat named Phil. If she sometimes suspects there might be more to life than reading, she just shrugs and picks up a new book. When the father Nina never knew existed suddenly dies, leaving behind innumerable sisters, brothers,",351,3.82,87372
406,"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,2022,,,3.71,38828
407,"Born in Fire (Born In Trilogy, #1)",Nora Roberts,1994,,,4.22,71920
408,"Fantasy Lover (Hunter Legends, #1)",Sherrilyn Kenyon,2002,"Cursed into an eternity of slavery by his own brother, Julian of Macedon has spent centuries in hell, where the only respite he knows is measured in a handful of weeks whenever he’s summoned through an arcane spell. With the modern age, those summonings are becoming fewer and fewer, and he lives in fear of the day when they’ll stop for good.Grace Alexander doesn’t believe ",337,4.15,90374
409,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,2002,,,3.96,245842
410,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,2010,"Salvation has its price . . .The words stunned Adrian for a moment, but he kept going. ""You're lying. What you're describing is impossible. There's no way to save a Strigoi. When they're gone, they're gone. They're dead. Undead. Forever.""Robert's next words weren't directed at Adrian. They were spoken to me. ""That which is dead doesn't always stay dead....""After a long and",489,4.33,281912
411,"Beautiful Stranger (Beautiful Bastard, #2)",Christina Lauren,2013,,,4.16,86066
412,The Undomestic Goddess (Paperback),Sophie Kinsella,2005,,,3.85,282087
413,"The Lady's Guide to Celestial Mechanics (Feminine Pursuits, #1)",Olivia Waite,2019,,,4.04,9945
414,To Kill a Kingdom (Hardcover),Alexandra Christo,2018,"Princess Lira is siren royalty and the most lethal of them all. With the hearts of seventeen princes in her collection, she is revered across the sea. Until a twist of fate forces her to kill one of her own. To punish her daughter, the Sea Queen transforms Lira into the one thing they loathe most—a human. Robbed of her song, Lira has until the winter solstice to deliver Pr",344,3.8,136587
415,"The Coincidence of Callie & Kayden (The Coincidence, #1)",Jessica Sorensen,2012,,,4.17,114624
416,To Kill a Kingdom (Hardcover),Alexandra Christo,2018,,,3.8,136587
417,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,2015,,,4.49,708962
418,"The Iron King (The Iron Fey, #1)",Julie Kagawa,2010,,,3.88,207758
419,Dial A for Aunties (Aunties #1),Jesse Q. Sutanto,2021,,,3.76,58738
420,North and South (Paperback),Elizabeth Gaskell,1854,"When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the north of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of the local mill workers and develops a passionate sen",521,4.14,158995
421,The Rescue (Paperback),Nicholas Sparks,2000,"When confronted by raging fires or deadly accidents, volunteer fireman Taylor McAden feels compelled to take terrifying risks; but there is one leap of faith Taylor can't bring himself to make: He can't fall in love.BookPage calls Nicholas Sparks, ""a modern master of fateful love stories,"" and his phenomenal bestsellers- The Notebook, Message in a Bottle, and A Walk to Rem",352,4.12,190495
422,"Jewels of the Sun (Gallaghers of Ardmore, #1)",Nora Roberts,1999,"In her new trilogy, New York Times #1 Best Selling author, Nora Roberts returns to the lush, green hills of Ireland, where love is forever touched by magic - And where the Gallagher siblings explore the depth of their fiery hearts.Determining to reevaluate her life, Jude Murray flees America to take refugee in Faerie Hill Cottage, immersing herself in the study of Irish Fo",347,4.22,63123
423,The Bodyguard (Hardcover),Katherine Center,2022,"
She’s got his back.
Hannah Brooks looks more like a kindergarten teacher than somebody who could kill you with a wine bottle opener. Or a ballpoint pen. Or a dinner napkin. But the truth is, she’s an Executive Protection Agent (aka ""bodyguard""), and she just got hired to protect superstar actor Jack Stapleton from his middle-aged, corgi-breeding stalker.
He’s got her ",320,4.13,46261
424,Uprooted (Hardcover),Naomi Novik,2015,"“Our Dragon doesn’t eat the girls he takes, no matter what stories they tell outside our valley. We hear them sometimes, from travelers passing through. They talk as though we were doing human sacrifice, and he were a real dragon. Of course that’s not true: he may be a wizard and immortal, but he’s still a man, and our fathers would band together and kill him if he wanted ",438,4.05,209681
425,"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,2010,,,3.88,164873
426,"The Secret Diaries of Miss Miranda Cheever (Bevelstoke, #1)",Julia Quinn,2007,"2 March 1810... Today, I fell in love.At the age of ten, Miranda Cheever showed no signs of Great Beauty. And even at ten, Miranda learned to accept the expectations society held for her—until the afternoon when Nigel Bevelstoke, the handsome and dashing Viscount Turner, solemnly kissed her hand and promised her that one day she would grow into herself, that one day she wo",373,3.89,40314
427,Atonement (Paperback),Ian McEwan,2001,,,3.92,485925
428,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,2011,"Mara Dyer believes life can't get any stranger than waking up in a hospital with no memory of how she got there.It can.She believes there must be more to the accident she can't remember that killed her friends and left her strangely unharmed. There is.She doesn't believe that after everything she's been through, she can fall in love. She's wrong.",456,4.03,168341
429,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,2010,"They come first.My vision was growing dimmer, the blackness and ghosts closing in. I swore it was like I could hear Robert whispering in my ear: The world of the dead won't give you up a second time. Just before the light completely vanished, I saw Dimitri's face join Lissa's. I wanted to smile. I decided then that if the two people I loved most were safe, I could leave th",594,4.37,275495
430,Amy & Roger's Epic Detour (Hardcover),Morgan Matson,2010,,,3.98,93280
431,"Just One Day (Just One Day, #1)",Gayle Forman,2013,,,3.99,83606
432,"Shadow of Night (All Souls, #2)",Deborah Harkness,2012,"Picking up from A Discovery of Witches’ cliffhanger ending, Shadow of Night takes Diana and Matthew on a trip through time to Elizabethan London, where they are plunged into a world of spies, magic, and a coterie of Matthew’s old friends, the School of Night. As the search for Ashmole 782 deepens and Diana seeks out a witch to tutor her in magic, the net of Matthew’s past ",584,4.07,219870
433,"The Governess Affair (Brothers Sinister, #0.5)",Courtney Milan,2012,,,3.85,17261
434,The Guardian (Paperback),Nicholas Sparks,2003,"Julie Barenson's young husband left her two unexpected gifts before he died: a Great Dane puppy named Singer and the promise that he would always be watching over her. Now, four years have passed. Still living in the small town of Swansboro, North Carolina, 29-year-old Julie is emotionally ready to make a commitment to someone again. But who? Should it be Richard Franklin,",400,4.16,172815
435,The Longest Ride (Hardcover),Nicholas Sparks,2012,"Ira Levinson is in trouble. At ninety-one years old, in poor health and alone in the world, he finds himself stranded on an isolated embankment after a car crash. Suffering multiple injuries, he struggles to retain consciousness until a blurry image materializes and comes into focus beside him: his beloved wife Ruth, who passed away nine years ago. Urging him to hang on, s",398,4.16,127530
436,Twice in a Blue Moon (Hardcover),Christina Lauren,2019,"Sam Brandis was Tate Jones’s first: Her first love. Her first everything. Including her first heartbreak. During a whirlwind two-week vacation abroad, Sam and Tate fell for each other in only the way that first loves do: sharing all of their hopes, dreams, and deepest secrets along the way. Sam was the first, and only, person that Tate—the long-lost daughter of one of the ",358,3.63,51050
437,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,2010,"John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal ven",528,4.39,109537
438,This Lullaby (Paperback),Sarah Dessen,2002,"There is an alternate cover edition for this ISBN13 here.The science of breaking up...Remy always knows when to give a guy ""the speech"" - right after the initial romantic rush, but before anything gets too serious. She's had her fair share of boyfriends, and she's learned all there is to learn from her mother, who's currently working on husband number five. So why is it th",345,4.02,176700
439,"Royally Screwed (Royally, #1)",Emma Chase,2016,,,4.01,42073
440,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Abbi Glines,2013,,,4.17,119168
441,"Losing Hope (Hopeless, #2)",Colleen Hoover,2013,"In the follow-up to Colleen Hoover’s #1 New York Times bestseller Hopeless, the charming and irresistible Dean Holder tells the passionate story that has melted thousands of hearts.In Hopeless, Sky left no secret unearthed, no feeling unshared, and no memory forgotten, but Holder’s past remained a mystery.Still haunted by the little girl he let walk away, Holder has spent ",321,4.29,135445
442,"Crossed (Matched, #2)",Ally Condie,2011,The Society chooses everything. The books you read. The music you listen to. The person you love. Yet for Cassia the rules have changed. Ky has been taken and she will sacrifice everything to find him. And when Cassia discovers Ky has escaped to the wild frontiers beyond the Society there is hope.But on the edge of society nothing is as it seems...A rebellion is rising.And,367,3.52,234069
443,"After We Collided (After, #2)",Anna Todd,2013,,,3.73,163476
444,Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,2019,,,4.24,740691
445,"Broken Prince (The Royals, #2)",Erin Watt,2016,,,4.0,85058
446,Making Faces (ebook),Amy Harmon,2013,"Ambrose Young was beautiful. He was tall and muscular, with hair that touched his shoulders and eyes that burned right through you. The kind of beautiful that graced the covers of romance novels, and Fern Taylor would know. She'd been reading them since she was thirteen. But maybe because he was so beautiful he was never someone Fern thought she could have . . . until he w",405,4.3,69574
447,"Alex, Approximately (Hardcover)",Jenn Bennett,2017,,,3.98,44969
448,"These Broken Stars (Starbound, #1)",Amie Kaufman,2013,"It's a night like any other on board the Icarus. Then, catastrophe strikes: the massive luxury spaceliner is yanked out of hyperspace and plummets into the nearest planet. Lilac LaRoux and Tarver Merendsen survive. And they seem to be alone. Lilac is the daughter of the richest man in the universe. Tarver comes from nothing, a young war hero who learned long ago that girls",389,3.9,68276
449,The Sea of Tranquility (Kindle Edition),Katja Millay,2012,,,4.3,83835
450,"The Secret (Highlands' Lairds, #1)",Julie Garwood,1992,"Judith Hampton was as beautiful as she was proud, as purposeful as she was loyal. The dear Scottish friend of her childhood was about to give birth, and Judith had promised to be at her side. But there was another, private reason for the journey from her bleak English home to the Highlands to meet the father she had never known, the Laird Maclean. Nothing prepared her for ",379,4.25,49646
451,"Grey (Fifty Shades as Told by Christian, #1)",E.L. James,2015,,,3.81,167773
452,"American Royals (American Royals, #1)",Katharine McGee,2019,,,3.84,94008
453,"When Beauty Tamed the Beast (Fairy Tales, #2)",Eloisa James,2011,"Miss Linnet Berry Thrynne is a Beauty . . . Naturally, she's betrothed to a Beast.Piers Yelverton, Earl of Marchant, lives in a castle in Wales where, it is rumored, his bad temper flays everyone he crosses. And rumor also has it that a wound has left the earl immune to the charms of any woman.Linnet is not just any woman.She is more than merely lovely: her wit and charm b",372,4.06,27254
454,"The Royal We (Royal We, #1)",Heather Cocks,2015,"""I might be Cinderella today, but I dread who they'll think I am tomorrow. I guess it depends on what I do next.""American Rebecca Porter was never one for fairy tales. Her twin sister, Lacey, has always been the romantic who fantasized about glamour and royalty, fame and fortune. Yet it's Bex who seeks adventure at Oxford and finds herself living down the hall from Prince ",454,3.81,61552
455,"Virgin River (Virgin River, #1)",Robyn Carr,2007,"A Netflix Original Series!Welcome back to Virgin River with the book that started it all…Wanted: Midwife/nurse practitioner in Virgin River, population six hundred. Make a difference against a backdrop of towering California redwoods and crystal clear rivers. Rent-free cabin included.When the recently widowed Melinda Monroe sees this ad, she quickly decides that the remote",386,4.02,61829
456,The Upside of Falling (Hardcover),Alex Light,2020,"It’s been years since seventeen-year-old Becca Hart believed in true love. But when her former best friend teases her for not having a boyfriend, Becca impulsively pretends she’s been secretly seeing someone.Brett Wells has it all. Being captain of the football team and one of the most popular guys in school, he should have no problem finding someone to date, but he’s alwa",288,3.65,63660
457,Like Water for Chocolate (Paperback),Laura Esquivel,1989,"Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.The number one bestseller in Mexico and America for almost two years, and subsequently a bestseller around the world, Like Water For Chocolate is a romantic, poignant tale, touched with",222,3.95,347670
458,P.S. I Like You (Hardcover),Kasie West,2016,"Signed, sealed, delivered…While spacing out in chemistry class, Lily scribbles some of her favorite song lyrics onto her desk. The next day, she finds that someone has continued the lyrics on the desk and added a message to her. Intrigue!Soon, Lily and her anonymous pen pal are exchanging full-on letters—sharing secrets, recommending bands, and opening up to each other. Li",329,4.05,54335
459,"Say Yes to the Marquess (Castles Ever After, #2)",Tessa Dare,2014,"Your presence is requested at romantic Twill Castle for the wedding of Miss Clio Whitmore and... and... ?After eight years of waiting for Piers Brandon, the wandering Marquess of Granville, to set a wedding date, Clio Whitmore has had enough. She's inherited a castle, scraped together some pride, and made plans to break her engagement.Not if Rafe Brandon can help it. A rut",374,3.83,21080
460,Instructions for Dancing (Kindle Edition),Nicola Yoon,2021,,,4.02,37962
461,Autoboyography (Hardcover),Christina Lauren,2017,,,4.18,47602
462,A Bend in the Road (Paperback),Nicholas Sparks,2001,,,4.03,147169
463,Something to Talk About (Paperback),Meryl Wilsner,2020,"A showrunner and her assistant give the world something to talk about when they accidentally fuel a ridiculous rumor in this debut romance.Hollywood powerhouse Jo is photographed making her assistant Emma laugh on the red carpet, and just like that, the tabloids declare them a couple. The so-called scandal couldn't come at a worse time--threatening Emma's promotion and Jo'",336,3.66,19263
464,"Tools of Engagement (Hot & Hammered, #3)",Tessa Bailey,2020,"Hair, makeup, clothing, decor... everything in Bethany Castle's world is organized, planned, and styled to perfection. Which is why the homes she designs for her family's real estate business are the most coveted in town. The only thing not perfect? Her track record with men. She's on a dating hiatus and after helping her friends achieve their dreams, Bethany finally has t",368,3.79,36814
465,"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,2005,,,4.43,163691
466,"Rule (Marked Men, #1)",Jay Crownover,2012,,,4.12,97511
467,"The Upside of Unrequited (Simonverse, #2)",Becky Albertalli,2017,"Seventeen-year-old Molly Peskin-Suso knows all about unrequited love—she’s lived through it twenty-six times. She crushes hard and crushes often, but always in secret. Because no matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful.Then a cute new girl enters C",336,3.91,72060
468,"Edenbrooke (Edenbrooke, #1)",Julianne Donaldson,2012,"Marianne Daventry will do anything to escape the boredom of Bath and the amorous attentions of an unwanted suitor. So when an invitation arrives from her twin sister, Cecily, to join her at a sprawling country estate, she jumps at the chance. Thinking she'll be able to relax and enjoy her beloved English countryside while her sister snags the handsome heir of Edenbrooke, M",264,4.32,47990
469,"Night Pleasures (Dark-Hunter, #1)",Sherrilyn Kenyon,2002,,,4.19,77021
470,"Party of Two (The Wedding Date, #5)",Jasmine Guillory,2020,"A chance meeting with a handsome stranger turns into a whirlwind affair that gets everyone talking.Dating is the last thing on Olivia Monroe's mind when she moves to LA to start her own law firm. But when she meets a gorgeous man at a hotel bar and they spend the entire night flirting, she discovers too late that he is none other than hotshot junior senator Max Powell. Oli",312,3.78,41411
471,Things You Save in a Fire (Hardcover),Katherine Center,2019,,,4.02,92697
472,"Pandemonium (Delirium, #2)",Lauren Oliver,2012,,,4.04,231558
473,"Evermore (The Immortals, #1)",Alyson Noel,2009,"The first book in Alyson Noël's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her a",301,3.59,282408
474,"The Rose & the Dagger (The Wrath and the Dawn, #2)",Renée Ahdieh,2016,,,4.06,85841
475,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,1998,"The first novel in #1 New York Times bestselling author Nora Roberts' stunning Chesapeake Bay Saga, where the Quinn brothers must return to their family home on the Maryland shore, to honor their father's last request...A champion boat racer, Cameron Quinn traveled the world spending his winnings on champagne and women. But when his dying father calls him home to care for ",330,4.23,59388
476,"Blue Dahlia (In the Garden, #1)",Nora Roberts,2004,"Recently widowed Stella Rothschild has found a new love in Logan Kitridge. But there is someone who isn't happy about Stella's growing feelings for Logan: the Harper Bride, an unidentified woman whose grief and rage have kept her spirit alive long past the death of her body.",372,4.12,70356
477,Credence (Paperback),Penelope Douglas,2020,,,3.68,102715
478,The Grand Sophy (Paperback),Georgette Heyer,1950,,,4.15,30755
479,I Kissed Shara Wheeler (Hardcover),Casey McQuiston,2022,,,4.07,36892
480,"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips,1997,,,4.04,39669
481,"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter,2008,"
His powers—Inhuman...His passion—Beyond immortal...
All her life, Ashlyn Darrow has been tormented by voices from the past. To end the nightmare, she has come to Budapest seeking help from men rumored to have supernatural abilities, not knowing she'll be swept into the arms of Maddox, their most dangerous member—a man trapped in a hell of his own. Neither can resist the",379,4.05,82413
482,"Mystery Man (Dream Man, #1)",Kristen Ashley,2011,"Night time is the right time...Gwendolyn Kidd has met the man of her dreams. He's hot, he's sexy, and what started as a no-names-exchanged night of passion has blossomed into a year and a half-long pleasure fest. Sure, it's a little strange that he only appears in her bed at night, but Gwen is so sure he's the one, she just can't turn him away... Hawk Delgado knows more ab",494,4.21,70047
483,"Only When It's Us (Bergman Brothers, #1)",Chloe Liese,2020,"
**Revised and Expanded 2021 Edition**
Prepare for an emotional rollercoaster brimming with laughter, tears, and slow-burn sexiness in this new adult romance that tackles the vulnerability of love with humor and heart.RyderEver since she sat next to me in class and gave me death eyes, Willa Sutter’s been on my shit list. Why she hates me, I don't know. What I do know is ",386,4.01,26179
484,Window Shopping (ebook),Tessa Bailey,2021,,,3.67,39346
485,"Sweet Filthy Boy (Wild Seasons, #1)",Christina Lauren,2014,"One-night stands are supposed to be with someone convenient, or wickedly persuasive, or regrettable. They aren’t supposed to be with someone like him.But after a crazy Vegas weekend celebrating her college graduation—and terrified of the future path she knows is a cop-out—Mia Holland makes the wildest decision of her life: follow Ansel Guillaume—her sweet, filthy fling—to ",418,4.04,46055
486,"Burn for Me (Hidden Legacy, #1)",Ilona Andrews,2014,"Nevada Baylor is faced with the most challenging case of her detective career—a suicide mission to bring in a suspect in a volatile case. Nevada isn't sure she has the chops. Her quarry is a Prime, the highest rank of magic user, who can set anyone and anything on fire.Then she's kidnapped by Connor ""Mad"" Rogan—a darkly tempting billionaire with equally devastating powers.",406,4.32,53398
